ProductA,ProductB,PairFrequency
"Sport-100 Helmet, Red",ML Crankset,11
"LL Mountain Frame - Black, 44",Front Brakes,102
"Half-Finger Gloves, L","LL Mountain Frame - Silver, 48",7
"LL Mountain Frame - Silver, 40",HL Bottom Bracket,90
"ML Road Frame-W - Yellow, 38","Road-350-W Yellow, 48",127
"Racing Socks, M","Road-750 Black, 58",144
"LL Mountain Frame - Black, 44","LL Mountain Frame - Black, 48",136
"Classic Vest, M",Chain,76
"Touring-3000 Yellow, 62","Touring-2000 Blue, 46",145
Front Derailleur,LL Crankset,142
"Long-Sleeve Logo Jersey, XL","Women's Mountain Shorts, M",62
"Half-Finger Gloves, M",HL Crankset,71
"HL Road Frame - Black, 44","Men's Bib-Shorts, M",50
"LL Road Frame - Red, 44","Road-250 Black, 58",71
HL Mountain Handlebars,"Mountain-500 Black, 42",77
"Mountain-400-W Silver, 38","Mountain-500 Silver, 40",77
"Women's Mountain Shorts, S","Short-Sleeve Classic Jersey, L",112
"Classic Vest, M","Mountain-500 Black, 44",52
"Women's Tights, L","Half-Finger Gloves, L",77
"Long-Sleeve Logo Jersey, XL","Women's Tights, M",105
"Mountain-300 Black, 44","Men's Sports Shorts, L",35
HL Mountain Rear Wheel,"Half-Finger Gloves, S",51
HL Mountain Front Wheel,"Women's Tights, S",44
"Sport-100 Helmet, Blue","HL Road Frame - Red, 48",22
"Mountain-100 Black, 38","Mountain-100 Black, 44",129
"LL Road Frame - Black, 58","LL Road Frame - Red, 60",199
"ML Road Frame - Red, 52","LL Road Frame - Black, 44",10
"HL Road Frame - Red, 44","Road-650 Red, 48",77
"LL Road Frame - Black, 60","Road-650 Red, 60",17
"LL Road Frame - Black, 60","LL Road Frame - Red, 48",16
Mountain Bottle Cage,LL Mountain Tire,14
"Classic Vest, L","Mountain-400-W Silver, 38",2
"Sport-100 Helmet, Red","Short-Sleeve Classic Jersey, M",22
"Short-Sleeve Classic Jersey, M","Touring-2000 Blue, 46",3
"LL Touring Frame - Blue, 44",ML Touring Seat/Saddle,9
"Classic Vest, L",Fender Set - Mountain,46
Patch Kit/8 Patches,ML Road Tire,270
"Long-Sleeve Logo Jersey, S","Road-350-W Yellow, 44",6
"Classic Vest, M",HL Road Tire,13
"Long-Sleeve Logo Jersey, XL",Touring Tire,13
"Long-Sleeve Logo Jersey, L","Touring-3000 Yellow, 54",68
Bike Wash - Dissolver,"Touring-1000 Blue, 50",72
"Classic Vest, S","HL Touring Frame - Yellow, 46",10
AWC Logo Cap,"LL Touring Frame - Blue, 50",52
"HL Touring Frame - Blue, 46","HL Touring Frame - Blue, 50",42
"LL Mountain Frame - Black, 40","Mountain-500 Silver, 48",4
"Mountain-200 Silver, 46","Mountain-400-W Silver, 38",80
"Mountain-400-W Silver, 40","Mountain-500 Silver, 52",104
"Long-Sleeve Logo Jersey, L",HL Road Pedal,124
"ML Road Frame-W - Yellow, 48","Road-350-W Yellow, 48",117
"ML Road Frame-W - Yellow, 40","Road-750 Black, 48",20
"Touring-2000 Blue, 60","Touring-3000 Yellow, 50",173
LL Mountain Pedal,"Mountain-500 Black, 52",60
"Half-Finger Gloves, M","Mountain-500 Black, 52",35
LL Mountain Pedal,"Mountain-500 Black, 44",86
"Sport-100 Helmet, Blue","Mountain-500 Silver, 42",72
"Short-Sleeve Classic Jersey, L","Touring-1000 Blue, 60",104
"Sport-100 Helmet, Blue","Road-750 Black, 48",156
ML Road Front Wheel,"Half-Finger Gloves, S",50
"Road-250 Red, 48","Road-550-W Yellow, 44",102
Hydration Pack - 70 oz.,"Mountain-500 Black, 48",66
"Long-Sleeve Logo Jersey, L","LL Mountain Frame - Silver, 44",69
"Half-Finger Gloves, S",Hydration Pack - 70 oz.,223
LL Mountain Handlebars,"Mountain-400-W Silver, 46",27
"LL Road Frame - Black, 44","HL Road Frame - Black, 48",33
ML Road Rear Wheel,"HL Road Frame - Black, 48",15
"LL Road Frame - Black, 58",HL Road Front Wheel,121
"HL Road Frame - Red, 44","Men's Bib-Shorts, M",54
"Road-650 Black, 60","Men's Bib-Shorts, L",88
"Road-250 Black, 48","Women's Tights, L",129
"Road-450 Red, 44","Road-650 Black, 62",71
ML Mountain Handlebars,LL Mountain Front Wheel,200
"HL Mountain Frame - Silver, 42","Full-Finger Gloves, L",59
"Road-650 Black, 48",ML Road Rear Wheel,19
"HL Road Frame - Red, 48",ML Road Rear Wheel,12
"LL Road Frame - Red, 48","HL Road Frame - Black, 44",64
"Classic Vest, L",LL Touring Handlebars,1
Fender Set - Mountain,ML Mountain Tire,79
ML Crankset,"Touring-3000 Yellow, 58",1
LL Touring Handlebars,HL Touring Handlebars,20
"LL Touring Frame - Yellow, 44","Touring-1000 Blue, 46",86
"Sport-100 Helmet, Blue","ML Mountain Frame-W - Silver, 38",1
"Half-Finger Gloves, S","Touring-1000 Blue, 54",29
"LL Touring Frame - Blue, 54","Touring-1000 Yellow, 54",12
Road Bottle Cage,"Short-Sleeve Classic Jersey, M",39
"HL Road Frame - Black, 48","Road-750 Black, 58",23
"Road-550-W Yellow, 38","Road-750 Black, 58",173
"Long-Sleeve Logo Jersey, M","Road-350-W Yellow, 42",107
Touring Pedal,"Touring-2000 Blue, 46",46
Touring Pedal,"Touring-1000 Yellow, 46",46
"HL Touring Frame - Yellow, 60","Touring-1000 Blue, 60",100
Hitch Rack - 4-Bike,LL Road Pedal,147
"Mountain-200 Black, 42","LL Mountain Frame - Silver, 42",172
"Mountain-200 Black, 42","LL Mountain Frame - Black, 42",124
"LL Mountain Frame - Silver, 48","Mountain-500 Silver, 40",14
Hydration Pack - 70 oz.,HL Road Pedal,109
"Road-550-W Yellow, 40","Road-750 Black, 52",167
"Road-250 Red, 44","Men's Bib-Shorts, S",96
"HL Road Frame - Black, 48","Men's Sports Shorts, S",8
LL Mountain Handlebars,HL Mountain Pedal,126
"Sport-100 Helmet, Blue","LL Mountain Frame - Black, 44",87
"Classic Vest, M","Mountain-500 Black, 52",38
"Long-Sleeve Logo Jersey, XL",ML Mountain Pedal,35
"LL Road Frame - Black, 52","ML Road Frame-W - Yellow, 40",53
"HL Road Frame - Red, 44","Road-250 Black, 48",136
ML Mountain Handlebars,"ML Mountain Frame - Black, 40",28
"Mountain-200 Black, 46",Minipump,97
"Road-550-W Yellow, 38","Men's Sports Shorts, S",76
"HL Road Frame - Red, 62","Women's Tights, M",37
"Long-Sleeve Logo Jersey, L","HL Mountain Frame - Black, 44",6
"Road-650 Black, 58","Road-650 Black, 62",191
"Long-Sleeve Logo Jersey, M","Road-650 Red, 58",85
"Road-150 Red, 52","Road-450 Red, 52",58
"Sport-100 Helmet, Blue",ML Mountain Rear Wheel,136
"Mountain-200 Silver, 42",ML Mountain Rear Wheel,216
Water Bottle - 30 oz.,ML Mountain Tire,42
"Classic Vest, L","Mountain-500 Black, 48",2
"HL Mountain Frame - Silver, 46",Hydration Pack - 70 oz.,37
HL Mountain Seat/Saddle,"LL Mountain Frame - Black, 40",4
"Mountain-200 Silver, 38",LL Bottom Bracket,69
"Road-550-W Yellow, 48",Patch Kit/8 Patches,61
"Half-Finger Gloves, M","Touring-1000 Blue, 54",35
Water Bottle - 30 oz.,LL Touring Seat/Saddle,14
HL Mountain Pedal,HL Crankset,94
"HL Mountain Frame - Black, 38",ML Mountain Seat/Saddle,90
"Sport-100 Helmet, Black",HL Road Pedal,119
"Road-550-W Yellow, 40",LL Road Pedal,166
"Half-Finger Gloves, L","Touring-1000 Yellow, 46",35
"Sport-100 Helmet, Blue","LL Touring Frame - Blue, 50",49
"Long-Sleeve Logo Jersey, M","Road-350-W Yellow, 40",125
"Racing Socks, L","Short-Sleeve Classic Jersey, S",95
"Mountain-200 Black, 46","Mountain-500 Black, 40",81
"Women's Mountain Shorts, M","LL Mountain Frame - Black, 44",169
"Mountain-200 Black, 46","Mountain-500 Silver, 40",131
"HL Mountain Frame - Black, 42","LL Mountain Frame - Silver, 44",117
"Women's Mountain Shorts, S","Mountain-400-W Silver, 40",142
"Short-Sleeve Classic Jersey, S","Mountain-500 Black, 52",34
"Short-Sleeve Classic Jersey, S","ML Mountain Frame-W - Silver, 42",75
LL Touring Seat/Saddle,"Touring-3000 Blue, 44",28
"Touring-3000 Yellow, 62","Touring-1000 Blue, 46",198
Chain,"Touring-3000 Yellow, 44",97
AWC Logo Cap,"Road-550-W Yellow, 38",265
"Road-650 Red, 52","Half-Finger Gloves, M",115
"HL Road Frame - Red, 62","Road-250 Black, 48",132
LL Road Rear Wheel,"Men's Sports Shorts, L",72
"HL Road Frame - Black, 48","Women's Tights, L",8
"Long-Sleeve Logo Jersey, M","Road-250 Black, 58",85
"Men's Sports Shorts, M","Full-Finger Gloves, S",57
"LL Road Frame - Black, 52",ML Road Rear Wheel,16
"Road-650 Red, 52","ML Road Frame-W - Yellow, 38",146
HL Headset,LL Mountain Front Wheel,93
AWC Logo Cap,"Half-Finger Gloves, S",351
"Long-Sleeve Logo Jersey, M","Mountain-300 Black, 38",99
"Mountain-100 Silver, 38","Mountain-100 Black, 48",133
AWC Logo Cap,"HL Mountain Frame - Silver, 48",49
"Long-Sleeve Logo Jersey, M","Road-650 Red, 60",227
"Mountain Bike Socks, L","Mountain-100 Black, 42",26
"HL Road Frame - Red, 44","ML Road Frame - Red, 52",10
"HL Mountain Frame - Silver, 42","Mountain-300 Black, 40",57
"Classic Vest, L","Touring-3000 Blue, 54",2
"LL Touring Frame - Blue, 58","Touring-3000 Blue, 44",1
"Racing Socks, M","Touring-1000 Blue, 60",5
"Racing Socks, L",Touring Tire,3
"Classic Vest, M","HL Touring Frame - Yellow, 50",12
"Sport-100 Helmet, Blue","Touring-3000 Yellow, 50",82
"LL Touring Frame - Blue, 50",LL Bottom Bracket,18
AWC Logo Cap,"ML Mountain Frame-W - Silver, 38",1
"Short-Sleeve Classic Jersey, S","LL Mountain Frame - Black, 52",2
"Classic Vest, M","Touring-2000 Blue, 50",33
"Short-Sleeve Classic Jersey, XL","HL Touring Frame - Blue, 46",18
Hydration Pack - 70 oz.,"HL Touring Frame - Blue, 46",17
"HL Touring Frame - Yellow, 60",HL Touring Seat/Saddle,106
"LL Touring Frame - Yellow, 50","Touring-3000 Yellow, 44",78
"Half-Finger Gloves, L","Touring-3000 Yellow, 62",29
"Sport-100 Helmet, Black","LL Touring Frame - Blue, 50",51
HL Mountain Pedal,HL Bottom Bracket,91
HL Crankset,"Mountain-500 Black, 48",55
"Road-250 Black, 58",HL Road Pedal,80
"Long-Sleeve Logo Jersey, L","Road-750 Black, 44",52
"Touring-1000 Yellow, 50","Touring-3000 Yellow, 44",148
Touring Pedal,"Touring-3000 Blue, 58",52
"LL Mountain Frame - Black, 42","Mountain-500 Silver, 40",90
"Mountain-500 Silver, 42","Mountain-500 Silver, 52",123
Chain,"Mountain-500 Silver, 40",56
"HL Mountain Frame - Black, 38",Rear Brakes,43
Water Bottle - 30 oz.,"LL Mountain Frame - Silver, 48",8
Rear Derailleur,"Mountain-500 Silver, 52",65
"Classic Vest, S",LL Mountain Pedal,87
"Short-Sleeve Classic Jersey, L","ML Mountain Frame-W - Silver, 40",100
Bike Wash - Dissolver,"Mountain-500 Black, 52",43
"Mountain-200 Black, 38","Mountain-500 Black, 52",80
"Sport-100 Helmet, Red","LL Mountain Frame - Silver, 40",64
"Touring-3000 Blue, 54","Touring-3000 Yellow, 58",85
"ML Mountain Frame - Black, 38","Women's Tights, L",114
"Road-250 Black, 44","Half-Finger Gloves, M",204
"HL Road Frame - Red, 48","Men's Sports Shorts, M",10
"LL Road Frame - Black, 60","Men's Bib-Shorts, S",13
"Long-Sleeve Logo Jersey, L","HL Road Frame - Black, 48",21
"Long-Sleeve Logo Jersey, M","Mountain-500 Black, 40",34
"Sport-100 Helmet, Red",LL Mountain Rear Wheel,90
"Mountain-200 Silver, 46","Men's Sports Shorts, M",109
"LL Road Frame - Black, 60",HL Road Handlebars,39
"Road-250 Black, 44","ML Road Frame-W - Yellow, 38",265
"Road-250 Red, 48","ML Road Frame-W - Yellow, 44",155
"Men's Sports Shorts, S","Half-Finger Gloves, L",77
"Road-150 Red, 56","Road-650 Red, 52",125
"Road-650 Red, 48","Road-650 Black, 52",460
AWC Logo Cap,"Road-150 Red, 56",103
AWC Logo Cap,"HL Mountain Frame - Silver, 38",239
"Mountain Bike Socks, L","Mountain-100 Black, 44",24
"HL Mountain Frame - Black, 42","HL Mountain Frame - Black, 44",7
"Long-Sleeve Logo Jersey, S",Hydration Pack - 70 oz.,9
"Short-Sleeve Classic Jersey, XL",Touring Tire Tube,8
"Long-Sleeve Logo Jersey, S","Road-550-W Yellow, 48",5
"Racing Socks, L","Touring-3000 Yellow, 44",1
"Long-Sleeve Logo Jersey, S","Touring-2000 Blue, 46",1
"Half-Finger Gloves, S","LL Touring Frame - Yellow, 58",5
"Classic Vest, M","Touring-2000 Blue, 60",81
"Short-Sleeve Classic Jersey, M","Road-350-W Yellow, 44",11
"Short-Sleeve Classic Jersey, M","Touring-1000 Yellow, 46",4
"Classic Vest, L",Touring Pedal,2
"Short-Sleeve Classic Jersey, M",ML Road Tire,12
"HL Road Frame - Red, 44","Racing Socks, L",69
Hydration Pack - 70 oz.,"Road-750 Black, 44",43
Front Brakes,"Touring-1000 Yellow, 50",80
"Half-Finger Gloves, L","HL Touring Frame - Yellow, 46",10
"Sport-100 Helmet, Blue",LL Bottom Bracket,60
"LL Touring Frame - Yellow, 58","Touring-3000 Yellow, 44",14
"Half-Finger Gloves, S","LL Mountain Frame - Black, 42",68
Rear Brakes,"Mountain-500 Silver, 40",43
HL Mountain Handlebars,Rear Derailleur,19
Rear Derailleur,"LL Mountain Frame - Black, 48",64
HL Crankset,"Mountain-500 Black, 42",35
"Road-250 Black, 44",Bike Wash - Dissolver,112
"HL Mountain Frame - Silver, 42","Mountain-500 Silver, 44",46
"Short-Sleeve Classic Jersey, XL","Mountain-400-W Silver, 40",76
"Half-Finger Gloves, S","Short-Sleeve Classic Jersey, XL",226
LL Mountain Seat/Saddle,"LL Mountain Frame - Silver, 52",90
HL Mountain Pedal,"Mountain-400-W Silver, 42",76
HL Mountain Seat/Saddle,"Mountain-500 Black, 44",87
"Half-Finger Gloves, L","Full-Finger Gloves, S",15
"HL Mountain Frame - Black, 38",HL Headset,96
AWC Logo Cap,"Women's Tights, M",104
"Sport-100 Helmet, Blue","Men's Sports Shorts, L",112
"HL Road Frame - Black, 48","Half-Finger Gloves, L",20
"ML Mountain Frame - Black, 38","Men's Sports Shorts, S",57
"LL Road Frame - Red, 52","Road-650 Black, 44",30
"Road-150 Red, 44","Road-650 Black, 48",61
"HL Mountain Frame - Silver, 42",HL Mountain Handlebars,58
ML Mountain Handlebars,"Men's Bib-Shorts, L",62
"Long-Sleeve Logo Jersey, M",Minipump,249
"Road-650 Red, 58","Road-250 Black, 44",108
"Sport-100 Helmet, Blue","Road-450 Red, 52",97
"Road-650 Red, 52","Road-650 Black, 48",181
AWC Logo Cap,"Road-650 Black, 48",135
"Long-Sleeve Logo Jersey, L",LL Mountain Front Wheel,130
"Mountain-200 Silver, 38",LL Mountain Rear Wheel,120
"Men's Sports Shorts, M","Full-Finger Gloves, L",109
"LL Mountain Frame - Black, 52",Front Brakes,3
"Mountain-500 Silver, 48",LL Bottom Bracket,60
"LL Touring Frame - Yellow, 50","Touring-1000 Blue, 46",79
Water Bottle - 30 oz.,LL Road Seat/Saddle,2
"LL Mountain Frame - Black, 48","LL Mountain Frame - Black, 40",3
"Half-Finger Gloves, S",ML Mountain Tire,17
"Half-Finger Gloves, M",HL Road Seat/Saddle,22
HL Road Handlebars,"Road-750 Black, 48",98
LL Road Handlebars,"Classic Vest, M",16
"Half-Finger Gloves, S","Touring-1000 Yellow, 60",58
"Half-Finger Gloves, M","HL Touring Frame - Blue, 54",57
AWC Logo Cap,LL Touring Handlebars,9
"Sport-100 Helmet, Blue",LL Mountain Seat/Saddle,66
HL Touring Handlebars,"Touring-1000 Yellow, 46",76
Bike Wash - Dissolver,ML Road Pedal,131
"Mountain-200 Black, 42","ML Mountain Frame-W - Silver, 46",51
"Half-Finger Gloves, S",Chain,56
"Road-550-W Yellow, 38","Road-350-W Yellow, 40",192
"Mountain-300 Black, 40",Cable Lock,97
"Mountain-200 Black, 42",LL Headset,37
"HL Road Frame - Red, 44","Half-Finger Gloves, M",86
"HL Road Frame - Black, 44","Men's Sports Shorts, S",37
AWC Logo Cap,"Road-550-W Yellow, 42",196
"Half-Finger Gloves, L","Full-Finger Gloves, L",25
"LL Road Frame - Black, 44","Road-250 Red, 48",41
"Road-650 Black, 52",HL Road Handlebars,94
"LL Road Frame - Red, 60","ML Road Frame-W - Yellow, 48",147
"Road-250 Black, 44",ML Road Front Wheel,134
"Road-650 Red, 44",HL Road Front Wheel,167
"ML Mountain Frame - Black, 44","Full-Finger Gloves, M",174
"LL Road Frame - Red, 48","Road-650 Black, 44",216
"LL Road Frame - Red, 44","Road-650 Red, 48",299
"LL Road Frame - Red, 44","Road-650 Red, 60",314
"Sport-100 Helmet, Red","Mountain-100 Silver, 48",63
"HL Mountain Frame - Black, 42",HL Mountain Handlebars,164
"Sport-100 Helmet, Red",HL Mountain Rear Wheel,125
"LL Mountain Frame - Black, 42",Front Derailleur,96
"LL Touring Frame - Yellow, 50",LL Crankset,10
Fender Set - Mountain,HL Mountain Tire,179
"Sport-100 Helmet, Black",LL Mountain Tire,70
"Touring-2000 Blue, 50","Touring-3000 Blue, 50",75
"Half-Finger Gloves, L","Touring-1000 Yellow, 60",30
"Classic Vest, M","Touring-2000 Blue, 46",71
"Half-Finger Gloves, M","Touring-3000 Yellow, 54",59
"HL Touring Frame - Blue, 60","Touring-1000 Blue, 50",104
"LL Touring Frame - Yellow, 62","Touring-1000 Yellow, 54",35
"Road-550-W Yellow, 38",HL Road Pedal,161
HL Road Seat/Saddle,"Road-350-W Yellow, 48",37
Hydration Pack - 70 oz.,"Road-750 Black, 58",98
"Classic Vest, M","Road-350-W Yellow, 44",44
"Road-250 Red, 58","Road-350-W Yellow, 48",93
"Touring-1000 Blue, 54",HL Bottom Bracket,72
ML Mountain Pedal,ML Crankset,21
Rear Derailleur,"ML Mountain Frame-W - Silver, 40",69
Hydration Pack - 70 oz.,"Mountain-500 Silver, 52",67
"Half-Finger Gloves, L","Women's Mountain Shorts, L",38
"Road-250 Black, 48",HL Road Seat/Saddle,44
"Long-Sleeve Logo Jersey, XL",HL Road Seat/Saddle,21
HL Mountain Handlebars,LL Mountain Seat/Saddle,84
"Classic Vest, S","Touring-1000 Yellow, 60",118
"Long-Sleeve Logo Jersey, L",Front Derailleur,97
LL Mountain Handlebars,"LL Mountain Frame - Black, 42",127
"Women's Mountain Shorts, M","LL Mountain Frame - Silver, 40",115
LL Mountain Pedal,Chain,72
ML Road Rear Wheel,"ML Road Frame-W - Yellow, 44",15
"Mountain-200 Black, 46","Mountain-300 Black, 40",188
HL Mountain Handlebars,HL Mountain Front Wheel,60
"Road-650 Black, 44","Men's Sports Shorts, S",68
"Road-650 Red, 58","Road-550-W Yellow, 44",99
Bike Wash - Dissolver,"Mountain-500 Silver, 44",69
"HL Mountain Frame - Silver, 38",HL Mountain Rear Wheel,169
"Long-Sleeve Logo Jersey, M","Men's Bib-Shorts, S",206
HL Mountain Handlebars,"Men's Bib-Shorts, M",65
"Men's Bib-Shorts, M","Men's Bib-Shorts, L",161
"Road-650 Black, 58","Men's Bib-Shorts, M",153
"Road-650 Red, 62","ML Road Frame-W - Yellow, 38",149
"ML Road Frame - Red, 48","Road-650 Red, 52",86
"Road-450 Red, 60","Road-650 Black, 44",119
"Road-650 Red, 62","Road-650 Red, 52",309
AWC Logo Cap,"Road-650 Red, 48",317
"LL Road Frame - Black, 44","Road-650 Black, 58",47
"LL Road Frame - Black, 44","Road-650 Black, 60",47
"Classic Vest, L","LL Touring Frame - Blue, 62",5
"HL Touring Frame - Yellow, 50",HL Touring Handlebars,27
"Short-Sleeve Classic Jersey, XL","Touring-3000 Yellow, 50",86
"Classic Vest, M","LL Mountain Frame - Black, 40",2
"LL Mountain Frame - Black, 42",ML Crankset,21
"HL Mountain Frame - Silver, 46",Rear Derailleur,68
"LL Mountain Frame - Black, 42",HL Crankset,98
"Road-550-W Yellow, 40","Racing Socks, L",161
AWC Logo Cap,"LL Mountain Frame - Black, 42",64
"Touring-3000 Blue, 50",HL Bottom Bracket,92
"Touring-1000 Blue, 60","Touring-3000 Blue, 50",201
"HL Touring Frame - Yellow, 60","Touring-1000 Yellow, 46",106
ML Touring Seat/Saddle,"Touring-1000 Yellow, 46",26
"LL Mountain Frame - Black, 44",Front Derailleur,94
Rear Derailleur,"Mountain-400-W Silver, 40",40
ML Mountain Seat/Saddle,Chain,99
Patch Kit/8 Patches,"ML Mountain Frame-W - Silver, 40",34
"LL Mountain Frame - Silver, 52",LL Crankset,86
"Road-750 Black, 58","Road-750 Black, 48",169
"Half-Finger Gloves, M","Mountain-500 Black, 40",34
ML Mountain Handlebars,"ML Mountain Frame-W - Silver, 46",57
"Sport-100 Helmet, Red",Hitch Rack - 4-Bike,317
"Women's Mountain Shorts, S",Water Bottle - 30 oz.,120
"Short-Sleeve Classic Jersey, XL","Touring-2000 Blue, 54",107
"Touring-3000 Yellow, 44","Touring-1000 Blue, 60",199
"ML Mountain Frame - Black, 38",LL Mountain Rear Wheel,106
"Long-Sleeve Logo Jersey, L",ML Road Front Wheel,118
"Road-250 Black, 48","Men's Sports Shorts, S",61
"Road-250 Black, 58",HL Road Front Wheel,75
"LL Road Frame - Red, 48","Road-550-W Yellow, 44",57
"Road-650 Black, 62","HL Road Frame - Black, 48",15
ML Road Front Wheel,"HL Road Frame - Black, 44",77
"ML Road Frame-W - Yellow, 38","HL Road Frame - Black, 48",33
HL Mountain Front Wheel,"Women's Tights, M",12
LL Headset,ML Mountain Rear Wheel,36
